gene_id	likelihood	aic	w
aln_w	-3353.58004657709	6721.16	0.111436
aln_w	-9444.15495325138	18902.3	0.130267
aln_w	-9611.72113142766	19237.4	0.134617
aln_w	-1379.72054121628	2773.44	0.0857374
aln_w	-6441.91159450031	12897.8	0.137474
aln_w	-868.184564120442	1750.37	0.054765
aln_w	-6087.33896071596	12188.7	0.177602
aln_w	-3700.01037542158	7414.02	0.219268
aln_w	-2680.77376155834	5375.55	0.142689
aln_w	-10484.9823397637	20984	0.190521
aln_w	-1105.65881157571	2225.32	0.0323691
aln_w	-2545.62383702306	5105.25	0.0591566
aln_w	-7833.62615739799	15681.3	0.0899134
aln_w	-2701.38153502714	5416.76	0.106602
aln_w	-5504.48465473655	11023	0.183218
aln_w	-5302.14221835508	10618.3	0.286073
aln_w	-3948.38001522107	7910.76	0.0874345
aln_w	-3250.69749789163	6515.39	0.141213
aln_w	-5503.30199131905	11020.6	0.134047
aln_w	-2509.08937589994	5032.18	0.135539
aln_w	-4062.87960174438	8139.76	0.227543
aln_w	-1843.77335503018	3701.55	0.0968201
aln_w	-6034.76912048831	12083.5	0.086537
aln_w	-3989.26632953688	7992.53	0.0954669
aln_w	-2887.0095525398	5788.02	0.238637
aln_w	-3628.25653484785	7270.51	0.240529
aln_w	-3821.30856058246	7656.62	0.0496321
aln_w	-3430.22289744444	6874.45	0.169338
aln_w	-979.497415554387	1972.99	0.0510329
aln_w	-5167.25689109568	10348.5	0.112872
aln_w	-4694.05261349518	9402.11	0.0717425
aln_w	-8666.68339106406	17347.4	0.0930135
aln_w	-1875.17976083455	3764.36	0.0517458
aln_w	-3877.02889248502	7768.06	0.229431
aln_w	-5694.80531633573	11403.6	0.188766
aln_w	-3354.41489252752	6722.83	0.270798
aln_w	-10588.1766569988	21190.4	0.100349
aln_w	-4140.48961629286	8294.98	0.112783
aln_w	-8459.61400293431	16933.2	0.162436
aln_w	-3598.73444914299	7211.47	0.0639624
aln_w	-2257.26636541506	4528.53	0.116231
aln_w	-4476.5046867281	8967.01	0.0766956
aln_w	-5720.56770516533	11455.1	0.0652048
aln_w	-6434.50009184035	12883	0.197908
aln_w	-9342.10790784279	18698.2	0.182226
aln_w	-5830.98606393204	11676	0.11678
aln_w	-5829.89387672912	11673.8	0.177588
aln_w	-3701.78579625126	7417.57	0.120818
aln_w	-10781.1857099709	21576.4	0.235921
aln_w	-6897.50672504319	13809	0.0866395
aln_w	-1874.04123472837	3762.08	0.070799
aln_w	-2115.52131292431	4245.04	0.0854093
aln_w	-1534.93834329132	3083.88	0.136804
aln_w	-4583.33788061787	9180.68	0.245387
aln_w	-2779.71652471956	5573.43	0.195715
aln_w	-7366.13757812688	14746.3	0.0942364
aln_w	-3619.68724357138	7253.37	0.147729
aln_w	-5344.67856749669	10703.4	0.40078
aln_w	-5265.53562894866	10545.1	0.0746963
aln_w	-1573.51340045432	3161.03	0.193936
aln_w	-1591.04702214954	3196.09	0.181477
aln_w	-6462.9952161066	12940	0.048437
aln_w	-2803.00600906339	5620.01	0.0632388
aln_w	-11510.1777019765	23034.4	0.0891446
aln_w	-5007.8541603816	10029.7	0.124911
aln_w	-4218.04075853745	8450.08	0.070555
